Total Contract Spending Trend,,,,,,,,,,Yearly Spending Trend & Annual Contract Volume,,,,
"Insights: Shows which departments consume the largest share of public funds, helping identify budget concentration.",,,,,,,,,,"Insight: Displays growth or decline in government spending over time and shows contract activity level, ensuring spending trends are not misinterpreted and useful for budget forecasting",,,,
,,,,,,,,,,,,,,
Department,SUM of Award Amount,COUNTA of Purchase Order (Contract) Number,,,,,,,,Start Date Year,SUM of Award Amount,COUNTA of Purchase Order (Contract) Number,,
UNITED DIAGNOSTIC SERVICES LLC|10624344,"$1,040,000",,,,,,,,,,,,,
"HOUSING OPPORTUNITIES FOR WOMEN, INC.|5256432X","$1,026,800",,,,,,,,,,,,,
INSTITUTE FOR NONVIOLENCE CHICAGO|105461497E,"$1,018,556",,,,,,,,,,,,,
CHICAGO LIGHTHOUSE RESIDENCES #9 LLC|10603170,"$1,017,643",,,,,,,,,,,,,
"HABILITATIVES SYSTEMS, INC.|3612573H","$1,013,355",,,,,,,,,,,,,
LCPTRACKER|95236126Z,"$1,010,987",,,,,,,,,,,,,
"INTER-CITY SUPPLY CO., INC.|102651428X","$1,005,297",,,,,,,,,,,,,
GREENPRINT PARTNERS|105508610A,"$1,004,556",,,,,,,,,,,,,
TOP BOX FOODS|105492956H,"$1,000,000",,,,,,,,,,,,,
STEVE'S EQUIPMENT SERVICE (SES)|99949294M,"$1,000,000",,,,,,,,,,,,,
"OUR REVIVAL CHICAGO OPERATING COMPANY, LLC.|10620068","$1,000,000",,,,,,,,,,,,,
"HOMEKEEP, LLC.|10624664","$1,000,000",,,,,,,,,,,,,
COOK COUNTY DEPARTMENT OF PUBLIC HEALTH|1031166,"$1,000,000",,,,,,,,,,,,,
TECHNOTRIX INC|97940711V,"$997,140",,,,,,,,,,,,,
LITTLE HANDS CHILD CREATIVE CENTER INC|102464777L,"$993,845",,,,,,,,,,,,,
"GIVEDIRECTLY, INC|105487077V","$991,844",,,,,,,,,,,,,
CHICAGO-LAWNDALE AMACHI MENTORING PROGRAM (LAMP)|94732672P,"$990,174",,,,,,,,,,,,,
"PLASTIC CARD SOLUTIONS, INC.|93406591T","$989,900",,,,,,,,,,,,,
ILLINOIS DEPARTMENT OF HEALTHCARE & FAMILY SERVICES|88147361M,"$989,780",,,,,,,,,,,,,
"ALL STAR KIDS ACADEMY, INC.|105460329T","$989,264",,,,,,,,,,,,,
REACH FOR THE STARS CHILDCARE ACADEMY INC|105466948V,"$986,900",,,,,,,,,,,,,
"ENLIGHT CONTRACTING, LLC|104099215E","$955,144",,,,,,,,,,,,,
WINDY CITY HABITAT FOR HUMANITY INC|41942812T,"$950,000",,,,,,,,,,,,,
BLACK CONTRACTORS OWNERS AND EXECUTIVES|10617090,"$950,000",,,,,,,,,,,,,
"PRECIOUS BLOOD MINISTRY OF RECONCILIATION, NFP|102526730A","$948,500",,,,,,,,,,,,,
"APNA GHAR, INC.|23446563X","$944,228",,,,,,,,,,,,,
GREATER ENGLEWOOD COMMUNITY DEVELOPMENT CORPORATION|102543009H,"$936,000",,,,,,,,,,,,,
"LIFE FITNESS, LLC|105506290X","$934,716",,,,,,,,,,,,,
MUTUAL AID BOX ALARM SYSTEM|41157619P,"$932,435",,,,,,,,,,,,,
INNER VOICE INC.|6231926M,"$931,213",,,,,,,,,,,,,
NOBLE NETWORK CHARTER SCHOOL|105458097A,"$927,000",,,,,,,,,,,,,
BRIGHT STAR COMMUNITY OUTREACH CORPORATION|87469744L,"$925,270",,,,,,,,,,,,,
NORTHWEST SIDE CDC|105478915L,"$924,512",,,,,,,,,,,,,
"GREENCORPS CHICAGO, NFP|50066781","$913,000",,,,,,,,,,,,,
URBAN MALE NETWORK|105493984X,"$901,678",,,,,,,,,,,,,
JIMMY D'S BODY & FENDER|CLEANED-UP|93428076A,"$900,000",,,,,,,,,,,,,
EBENEZER MISSIONARY BAPTIST CH|31303779A,"$900,000",,,,,,,,,,,,,
"D.B. STERLIN CONSULTANTS, INC.|73183229V","$900,000",,,,,,,,,,,,,
BRADFORD SYSTEMS CORPORATION|22772463Z,"$892,475",,,,,,,,,,,,,
"BUS & TRUCK OF CHICAGO, INC|95644507E","$884,243",,,,,,,,,,,,,
MIDWEST ASIAN HEALTH ASSOCIATION (MAHA)|102499499Z,"$883,000",,,,,,,,,,,,,
DEBORAH'S PLACE 01|38790980A,"$879,165",,,,,,,,,,,,,
FAUST ASSOCIATES IN DESIGNED|102455876M,"$873,536",,,,,,,,,,,,,
CENTER FOR COMPANIES THAT CARE|102610175T,"$873,369",,,,,,,,,,,,,
"KID'Z COLONY DAYCARE, INC.|22455035X","$868,956",,,,,,,,,,,,,
COOK COUNTY CONTROLLER|38641675L,"$868,038",,,,,,,,,,,,,
PRIMECARE COMMUNITY HEALTH CENTER|105465824T,"$863,468",,,,,,,,,,,,,
UPTOWN UNITED|93428860L,"$863,283",,,,,,,,,,,,,
IAYV INC|10593524,"$862,000",,,,,,,,,,,,,
CALUMET AREA INDUSTRIAL COMMISSIONS|31304958E,"$852,370",,,,,,,,,,,,,
"KOREAN AMERICAN COMMUNITY SERVICES, INC.|15141444E","$849,279",,,,,,,,,,,,,
"MULLER & MULLER, LIMITED|22218051P","$847,794",,,,,,,,,,,,,
THINK OUTSIDE DA BLOCK|105510188H,"$846,081",,,,,,,,,,,,,
TBI CONTRACTORS INC|10559519,"$825,000",,,,,,,,,,,,,
BWF CONSTRUCTION|105465845E,"$825,000",,,,,,,,,,,,,
"BLACKROCK CONSTRUCTION SERVICES, LLC|10616067","$825,000",,,,,,,,,,,,,
CHICAGO NEIGHBORHOOD INITIATIVES MICRO FINANCE GROUP|95162640A,"$823,563",,,,,,,,,,,,,
MAT LEASING INC|95637628X,"$819,793",,,,,,,,,,,,,
WGN FLAG & DECORATING CO 01|85240946H,"$819,349",,,,,,,,,,,,,
"HY TEST SAFETY SHOE SERVICE, INC.|57894823L","$813,180",,,,,,,,,,,,,
LITTLE GENIUS COMMUNITY DAYCARE CENTER INC|58935899M,"$812,464",,,,,,,,,,,,,
"CITY ESCAPE GARDEN & DESIGN,LLC.|41118212T","$809,250",,,,,,,,,,,,,
"IFPC WORLD WIDE, INC|10532805A","$800,000",,,,,,,,,,,,,
MECHANICAL INC.|102463907Z,"$795,395",,,,,,,,,,,,,
"RENAISSANCE SOCIAL SERVICES, INC.|31320486A","$785,311",,,,,,,,,,,,,
"EX3 LABS, LLC|105479755E","$782,100",,,,,,,,,,,,,
PETERSON-PULASKI BUS IND COUNCIL|93428220V,"$759,895",,,,,,,,,,,,,
"CHINESE MUTUAL AID ASSOCIATION, INC.|6989228M","$757,000",,,,,,,,,,,,,
SITE DESIGN GROUP LIMITED|23207315M,"$750,000",,,,,,,,,,,,,
JOHNSON RESEARCH GROUP INC|102636863L,"$750,000",,,,,,,,,,,,,
ILLINOIS CRIMINAL JUSTICE|93676963E,"$750,000",,,,,,,,,,,,,
"LINDAHL BROTHERS, INC.|22278622X","$747,000",,,,,,,,,,,,,
"CAMIROS, LIMITED|31307636H","$745,521",,,,,,,,,,,,,
COALITION FOR A BETTER CHINESE AMERICAN COMMUNITY|10582696,"$742,270",,,,,,,,,,,,,
CHAPIN HALL CENTER FOR CHILDREN|93971428P,"$741,706",,,,,,,,,,,,,
URBAN MALE NETWORK|10596979,"$741,321",,,,,,,,,,,,,
OMICRON TECHNOLOGY SOLUTIONS LLC|10590183,"$739,000",,,,,,,,,,,,,
USDA-APHIS-WS|95151526P,"$737,500",,,,,,,,,,,,,
WOMEN'S BUSINESS DEVELOPMENT CENTER|40237135M,"$735,000",,,,,,,,,,,,,
"GRAIL, INC.|10624596","$724,500",,,,,,,,,,,,,
MES-ILLINOIS|105467153X,"$723,267",,,,,,,,,,,,,
REFLECTIONS FOUNDATION|91436071T,"$722,736",,,,,,,,,,,,,
ALLIANCE OF LOCAL SERVICE ORGANIZATIONS|96670711X,"$716,666",,,,,,,,,,,,,
NEOPOLITAN LIGHTHOUSE C/O|22388968L,"$716,345",,,,,,,,,,,,,
ROGERS PARK BUSINESS ALLIANCE|95196348A,"$708,598",,,,,,,,,,,,,
ASSOCIATION HOUSE OF CHICAGO|3676836M,"$702,600",,,,,,,,,,,,,
"CHICAGO YOUTH PROGRAMS, INC|CLEANED-UP|93389965V","$702,000",,,,,,,,,,,,,
"KERRY'S AUTO BODY, INC.|CLEANED-UP|27492060T","$700,737",,,,,,,,,,,,,
SWISSPORT USA INC.|10596565,"$700,000",,,,,,,,,,,,,
JINA VALENTINE STUDIO LLC|10595473,"$700,000",,,,,,,,,,,,,
GREATER S.W. DEVELOPMENT CORP.|15055418E,"$697,310",,,,,,,,,,,,,
LOCUMTENENS.COM|95111447Z,"$690,400",,,,,,,,,,,,,
GLADYS R. WILSON & ASSOCIATES PC|9104023T,"$690,000",,,,,,,,,,,,,
MGPG EVENTS INC|105459269A,"$686,500",,,,,,,,,,,,,
"KOREAN-AMERICAN SENIOR CENTER, INC|102482088V","$685,640",,,,,,,,,,,,,
FIRST DEFENSE LEGAL AID CIVIL RIGHTS PROGRAM TRUST|102587181L,"$680,000",,,,,,,,,,,,,
TREK BICYCLE CORP.|31333376H,"$670,613",,,,,,,,,,,,,
FULL SPECTRUM FEATURES|102539343X,"$656,000",,,,,,,,,,,,,
UNIVERSITY OF CHICAGO - MEDICAL CENTER|5405315L,"$653,962",,,,,,,,,,,,,
SEDGWICK CLAIMS MANAGEMENT SERVICES INC|94302317L,"$650,000",,,,,,,,,,,,,
"B & W TRUCK REPAIR, INC|22295242L","$650,000",,,,,,,,,,,,,
"B & L DISTRIBUTORS, INC.|31308905M","$637,080",,,,,,,,,,,,,
VEGETATION SOLUTIONS LLC|102464307P,"$634,167",,,,,,,,,,,,,
CENTRO ROMERO|31314366X,"$632,137",,,,,,,,,,,,,
"SONRISA DENTAL, P.C.|95051459E","$630,314",,,,,,,,,,,,,
UPTOWN UNITED|105467433V,"$628,700",,,,,,,,,,,,,
NEW COVENANT CDC|10593568,"$628,066",,,,,,,,,,,,,
QUALITY PLUS CARE INC DBA HEROES HOME HEALTH|10397844,"$625,000",,,,,,,,,,,,,
LUTHERAN SOCIAL SERVICES OF ILLINOIS|95608747P,"$625,000",,,,,,,,,,,,,
HR & A ADVISORS INC|102529687H,"$625,000",,,,,,,,,,,,,
"THE URBAN ALLIANCE FOUNDATION, INC.|95134149M","$621,174",,,,,,,,,,,,,
"FREE SPIRIT MEDIA, NFP|105509991H","$621,174",,,,,,,,,,,,,
"NEW LIFE CENTERS OF CHICAGOLAND, NFP|95224706P","$621,000",,,,,,,,,,,,,
COMMUNITY COUNSELING CENTERS OF CHICAGO|22196631X,"$620,000",,,,,,,,,,,,,
"PILSEN-LITTLE VILLAGE COMMUNITY MENTAL HEALTH CENTER, INC.|3635228H","$617,872",,,,,,,,,,,,,
ADRIAN SMITH & GORDON GILL ARC|102465377E,"$615,487",,,,,,,,,,,,,
ASE HOLISTIC HOUSE|10588719,"$611,946",,,,,,,,,,,,,
TCA HEALTH INC|93427644M,"$610,328",,,,,,,,,,,,,
DEEPLY ROOTED PRODUCTIONS|31323346V,"$610,000",,,,,,,,,,,,,
WEST HUMBOLDT PARK FAMILY & COMMUNITY DEVELOPMENT COUNCIL|31318659L,"$602,450",,,,,,,,,,,,,
TRAFFIC SIGNAL COMPANY|31324345T,"$600,000",,,,,,,,,,,,,
"THE WORKING WORLD, INC.|10601691","$600,000",,,,,,,,,,,,,
PRESERVATION OF AFFORDABLE HOUSING INC|95353722P,"$600,000",,,,,,,,,,,,,
"IDEXX DISTRIBUTION, INC|102457220T","$600,000",,,,,,,,,,,,,
FII-NATIONAL|102703119P,"$600,000",,,,,,,,,,,,,
DISHROULETTE KITCHEN NFP|10597222,"$600,000",,,,,,,,,,,,,
"BORDERLESS WORKSHOP, INC.|10593763","$600,000",,,,,,,,,,,,,
INDUSTRIAL COUNCIL OF NW COMN|94150919P,"$597,447",,,,,,,,,,,,,
FLOATING COLLECTIVE|105455168A,"$595,810",,,,,,,,,,,,,
MUJERES LATINAS EN ACCION|23296996L,"$593,091",,,,,,,,,,,,,
CATHOLIC BISHOP OF CHICAGO - HOLY CROSS IMMACULATE HEART OF MARY|102489046E,"$580,878",,,,,,,,,,,,,
SONGHA & COMPANY LLC|105456658P,"$580,000",,,,,,,,,,,,,
HOUSING OPPORTUNITIES & MAINTENANCE FOR THE ELDERLY INC|96583376A,"$579,970",,,,,,,,,,,,,
KENYATTA DAY CARE CENTER|102465046E,"$578,316",,,,,,,,,,,,,
ST ANTHONY HOSPITAL|90197670M,"$577,954",,,,,,,,,,,,,
SWR JOINT VENTURE|105516899M,"$577,550",,,,,,,,,,,,,
J & L FAMILY DAY CARE INC. DBA J & L FAMILY LEARNING CENTER|105460034A,"$573,777",,,,,,,,,,,,,
MUDDY WATERS MOJO MUSEUM|10596947,"$573,522",,,,,,,,,,,,,
CENTER ON HALSTED|62852273V,"$569,345",,,,,,,,,,,,,
SOUTH SIDE HELP CENTER 01|98146481X,"$564,173",,,,,,,,,,,,,
RYANS PLUMBING 1 INC|105515409A,"$563,583",,,,,,,,,,,,,
PRESENCE CHICAGO HOSPITALS NETWORK DBA PRESENCE SAINTS MARY & ELIZABETH MEDICAL CENTER|105474424E,"$563,438",,,,,,,,,,,,,
NORTHSIDE COMMUNITY DEVELOPMENT CORPORATION|CLEANED-UP|94547541L,"$559,500",,,,,,,,,,,,,
THE ALLIANCE 98|10597804,"$556,539",,,,,,,,,,,,,
UNIV OF TEXAS AT AUSTIN|47347232V,"$556,499",,,,,,,,,,,,,
DATAMADE|19501493X,"$555,400",,,,,,,,,,,,,
CHICAGO ARCHITECTURE BIENNIAL|102453748P,"$550,000",,,,,,,,,,,,,
SIEMENS INDUSTRY INC. 01|105458815A,"$545,530",,,,,,,,,,,,,
EL RINCON SUPPORTIVE SERVICES SRVC ORGN|22201050M,"$544,357",,,,,,,,,,,,,
OVER THE RAINBOW ASSOCIATION|10623662,"$540,000",,,,,,,,,,,,,
"EARLE SCHOOL, LLC|10626412","$540,000",,,,,,,,,,,,,
"CHICAGO'S SUNSHINE ENTERPRISES, INC.|105470261T","$540,000",,,,,,,,,,,,,
NAVILLUS WOODWORKS LLC|102699074A,"$535,000",,,,,,,,,,,,,
"FAMILY FOCUS, INC.|86565710V","$533,407",,,,,,,,,,,,,
FORESIGHT CHILDREN LEARNING CENTER INC|105460840T,"$532,891",,,,,,,,,,,,,
ST. JOSEPH SERVICES INC|94852788P,"$531,000",,,,,,,,,,,,,
LITTLE ACHIEVERS LEARNING CENTER INC|102465036Z,"$530,350",,,,,,,,,,,,,
"ADVANCED WATER SOLUTIONS, LLC|105496942M","$529,390",,,,,,,,,,,,,
"DREAMCHILD DEVELOPMENT CENTER, INC.|105457960M","$528,310",,,,,,,,,,,,,
ALAIN LOCKE CHARTER SCHOOL|102464477A,"$526,640",,,,,,,,,,,,,
SPANISH COALITION FOR HOUSING|93725111T,"$525,540",,,,,,,,,,,,,
EMERIC FACILITY SERVICES|10515423,"$517,585",,,,,,,,,,,,,
"IHC CONSTRUCTION CO., LLC.|105468069V","$516,170",,,,,,,,,,,,,
"GLOBETROTTERS ENGINEERING CORPORATION, ATTN: DAVID FELLER|3989836V","$515,299",,,,,,,,,,,,,
ALBANY PARK THEATER PROJECT|31324519P,"$515,000",,,,,,,,,,,,,
AMERICAN RED CROSS-HEALTH & SAFETY SERVICES|99503380Z,"$514,000",,,,,,,,,,,,,
GROWING HOMES INC.|65849457X,"$511,082",,,,,,,,,,,,,
LOST BOYZ INC.|10546771,"$510,594",,,,,,,,,,,,,
SARAH'S INN|105458988X,"$510,014",,,,,,,,,,,,,
"STAR KIDS MATH & SCIENCE ACADEMY, INC.|105459156M","$507,041",,,,,,,,,,,,,
ILLINOIS HUMANITIES COUNCIL|86355451L,"$505,000",,,,,,,,,,,,,
LITTLE KIDDIES INC|105460825V,"$504,288",,,,,,,,,,,,,
MOTHER'S TOUCH INC II|105464725M,"$501,270",,,,,,,,,,,,,
"ETHIOPIAN COMMUNITY ASSOCIATION OF CHICAGO, INC.|102652682X","$500,858",,,,,,,,,,,,,
BARON PARTNERSHIP CORPORATION|10618104,"$500,037",,,,,,,,,,,,,
SUPERLATIVE GROUP INC|102458592V,"$500,000",,,,,,,,,,,,,
"MAXIM HEALTHCARE STAFFING SERVICES, INC|10613754","$500,000",,,,,,,,,,,,,
"HAGERTY CONSULTING, INC.|94370910L","$500,000",,,,,,,,,,,,,
"CHICAGO SURVIVORS, INC|105459406V","$500,000",,,,,,,,,,,,,
CHICAGO ABORTION FUND|105491314M,"$500,000",,,,,,,,,,,,,
AERO SNOW REMOVAL (ILL) LLC|105457407M,"$500,000",,,,,,,,,,,,,
"METROPOLITAN ASIAN FAMILY SERVICES, INC.|7486962X","$498,060",,,,,,,,,,,,,
TITAN BARN MANAGEMENT INC|105508088T,"$498,000",,,,,,,,,,,,,
TWO FIVE THREE TWO CORP NFP|10594274,"$494,000",,,,,,,,,,,,,
"RUSSO HARDWARE, INC.|27046077E","$493,187",,,,,,,,,,,,,
CLARETIAN ASSOCIATES|105472863X,"$492,126",,,,,,,,,,,,,
"KINDERSYSTEM, INC|10600878","$491,186",,,,,,,,,,,,,
HISTORIC CHICAGO BUNGALOW (LISC)|CLEANED-UP|95251535P,"$490,000",,,,,,,,,,,,,
COMMUNITY DEVELOPMENT INSTITUTE|102700625H,"$487,500",,,,,,,,,,,,,
STANDARD LPC VENTURE LP|10612314,"$485,082",,,,,,,,,,,,,
BOX UNITED|105505768L,"$482,000",,,,,,,,,,,,,
LAKEVIEW PANTRY|105466414H,"$480,000",,,,,,,,,,,,,
INFANT WELFARE SOCIETY OF CHICAGO|3728556T,"$480,000",,,,,,,,,,,,,
ENVISION UNLIMITED|55557399A,"$480,000",,,,,,,,,,,,,
ABBOTT CONNECTION LTD. DBA A-LIST LIMOUSINE AND TRANSIT SERVICES LTD.|105489263V,"$480,000",,,,,,,,,,,,,
SPIRAL BINDING LLC|10556248,"$479,406",,,,,,,,,,,,,
ANDERSONVILLE CHAMBER OF COMMERCE|102486871M,"$478,984",,,,,,,,,,,,,
CHICAGO PUBLIC ART GROUP|102475859P,"$476,000",,,,,,,,,,,,,
"A. M. C. MECHANICAL, INC.|CLEANED-UP|92994706A","$475,791",,,,,,,,,,,,,
NIC SOLUTIONS LLC|10601456,"$475,000",,,,,,,,,,,,,
PREVENTION PARTNERSHIP INC|23124099M,"$473,016",,,,,,,,,,,,,
SOUTH SHORE CHAMBER COMMUNITY DEVELOPMENT CORPORATION|105468673Z,"$470,000",,,,,,,,,,,,,
LAWNDALE BUSINESS RENAISSANCE ASSOCIATION|105472307P,"$469,733",,,,,,,,,,,,,
"CHICAGO AUSTIN YOUTH TRAVEL ADVENTURES, INC.|10595966","$469,000",,,,,,,,,,,,,
LAKE COUNTY DIVERS SUPPLY|31298968L,"$463,464",,,,,,,,,,,,,
EAST EDGEWATER CHAMBER OF COMMERCE|94325111M,"$462,617",,,,,,,,,,,,,
LOGAN SQUARE NEIGHBORHOOD ASSOCIATION|44812796Z,"$461,733",,,,,,,,,,,,,
HOPE CENTER FOUNDATION|105479584M,"$460,565",,,,,,,,,,,,,
URBAN GROWERS COLLECTIVE|104270171H,"$458,000",,,,,,,,,,,,,
INDO - AMERICAN CENTER|22446116Z,"$457,165",,,,,,,,,,,,,
CLARETIAN ASSOCIATES|CLEANED-UP|93175047L,"$457,028",,,,,,,,,,,,,
ADVANCE AUTO CENTER|93360961T,"$454,502",,,,,,,,,,,,,
"FAMILY MATTERS, INC.|91726460H","$453,736",,,,,,,,,,,,,
UPRISING THEATER|105479508H,"$450,000",,,,,,,,,,,,,
"HEALTH CARE ALTERNATIVE SYSTEMS, INC|105519191P","$450,000",,,,,,,,,,,,,
HEALTH & MEDICINE POLICY|31330682X,"$450,000",,,,,,,,,,,,,
ALLIANCE FOR SUSTAINABLE ENERGY LLC|105511706H,"$450,000",,,,,,,,,,,,,
AIR SNOW & SHOW INC|105511662Z,"$450,000",,,,,,,,,,,,,
ADVANCE AUTO CENTER|93261292V,"$450,000",,,,,,,,,,,,,
ABOVE AND BEYOND FAMILY RECOVERY CENTER|10554590,"$449,500",,,,,,,,,,,,,
ILLINOIS ARTS ALLIANCE DBA ARTS ALLIANCE ILLINOIS|94290720L,"$445,845",,,,,,,,,,,,,
UNIVERSIDAD POPULAR/CENTRO LAT|93332351Z,"$443,500",,,,,,,,,,,,,
BICKERDIKE REDEVELOPMENTCORPORATION CORP|3676876H,"$442,125",,,,,,,,,,,,,
COOK COUNTY SHERIFF|31284822Z,"$437,722",,,,,,,,,,,,,
"CUDDLE CARE, INC|47085056T","$432,192",,,,,,,,,,,,,
SAINT FRANCIS GROUP|47992267E,"$432,000",,,,,,,,,,,,,
GUITARS OVER GUNS ORGANIZATION INC|105475780M,"$432,000",,,,,,,,,,,,,
"PRIME FOR CHANGE, NFP|105512666P","$431,964",,,,,,,,,,,,,
GARFIELD PARK COMMUNITY COUNCIL|95047494Z,"$430,500",,,,,,,,,,,,,
REBUILDING TOGETHER METRO CHICAGO|102689466L,"$427,368",,,,,,,,,,,,,
WEST CENTRAL ASSOCIATION|CLEANED-UP|93850384P,"$424,180",,,,,,,,,,,,,
"OLD TOWN SCHOOL OF FOLK MUSIC, INC.|14645363T","$424,120",,,,,,,,,,,,,
ARROW ROAD CONSTRUCTION COMPANY|102687343E,"$422,209",,,,,,,,,,,,,
COALITION OF LIMITED ENGLISH SPEAKING ELDERLY|99822855H,"$418,750",,,,,,,,,,,,,
POLISH/AMERICAN ASSOCIATION|3711832T,"$411,835",,,,,,,,,,,,,
COLLABORACTION THEATRE COMPANY|92574151P,"$410,000",,,,,,,,,,,,,
WIGHT & COMPANY|33664649P,"$409,907",,,,,,,,,,,,,
ONE ON ONE|1039849,"$407,964",,,,,,,,,,,,,
"GENERAL COMMUNICATIONS, INC. (GENCOMM)|10604869","$404,350",,,,,,,,,,,,,
NATIONAL MUSEUM OF MEXICAN ART|9318583T,"$403,000",,,,,,,,,,,,,
KING TRANSMISSION CO INC|102456274X,"$403,000",,,,,,,,,,,,,
ACCESS CONTEMPORARY MUSIC|102459522P,"$403,000",,,,,,,,,,,,,
PORTAGE PARK CHAMBER OF COMMERCE|105467390P,"$402,421",,,,,,,,,,,,,
PERMABAND|10513214,"$400,715",,,,,,,,,,,,,
SOUTHWEST SIDE SENIORS SERVICES ORGANIZATION|94902792P,"$400,000",,,,,,,,,,,,,
SMILING MOUTAIN LLC|10619422,"$400,000",,,,,,,,,,,,,
NORWOOD SENIORS NETWORK ASSOCIATION|105459239M,"$400,000",,,,,,,,,,,,,
FOOD HERO L3C|10595553,"$400,000",,,,,,,,,,,,,
BIG|102687102A,"$399,541",,,,,,,,,,,,,
"LINE BARGER, GOGGAN BLAIR & SAMPSON LLP.|31339962E","$397,000",,,,,,,,,,,,,
CPAT DISTRIBUTION INC|105467993M,"$397,000",,,,,,,,,,,,,
YOUNG MEN'S EDUCATIONAL NETWORK|41176489E,"$396,000",,,,,,,,,,,,,
MATTHEW HOUSE|86781789M,"$393,250",,,,,,,,,,,,,
"SKYART, NFP|99253706X","$391,000",,,,,,,,,,,,,
NORTH RIVER COMMISSION 02|93461821H,"$390,041",,,,,,,,,,,,,
ENLACE CHICAGO|86155245M,"$384,000",,,,,,,,,,,,,
THE ALLIANCE 98|105492916M,"$376,300",,,,,,,,,,,,,
CHICAGO HUMAN RHYTHM PROJECT|95445996P,"$375,000",,,,,,,,,,,,,
MHLI FBO THE KENNEDY FORUM IL|105459771Z,"$370,260",,,,,,,,,,,,,
JONATHAN CASTILLO|105462588L,"$369,000",,,,,,,,,,,,,
AQUA SERVICES INC|31321850M,"$364,000",,,,,,,,,,,,,
ACCESS LIVING OF METROPOLITAN CHICAGO|93427616P,"$362,700",,,,,,,,,,,,,
BELOVED COMMUNITY FAMILY WELLNESS CENTER|94090844L,"$361,588",,,,,,,,,,,,,
SWEDISH AMERICAN MUSEUMS.ASSOC CHICAGO|15135225Z,"$360,000",,,,,,,,,,,,,
BARBARA JEAN FOUNDATION|105511246P,"$359,970",,,,,,,,,,,,,
"VOICE OF THE PEOPLE, INC.|93733611T","$355,000",,,,,,,,,,,,,
ILLINOIS COLLEGE OF OPTOMETRY|94600783E,"$355,000",,,,,,,,,,,,,
"URBAN HOMESTEADING ASSISTANCE (U-HAB), INC.|10601858","$350,000",,,,,,,,,,,,,
"PYROTECNICO FIREWORKS, INC|105478371P","$350,000",,,,,,,,,,,,,
"FENCE MASTERS, INC|93285910V","$350,000",,,,,,,,,,,,,
FAMILYFARMED ORG|102592024M,"$350,000",,,,,,,,,,,,,
DUO DEVELOPMENT|10593833,"$350,000",,,,,,,,,,,,,
CONTEXTOS NFP|105473223T,"$350,000",,,,,,,,,,,,,
AMANDA WILLIAMS|94593986E,"$350,000",,,,,,,,,,,,,
BLAIDA & ASSOCIATES LLC|95554800M,"$350,000",,,,,,,,,,,,,
GREENPRINT PARTNERS|10568517,"$349,802",,,,,,,,,,,,,
"FOLDED MAP, NFP|105475300M","$348,650",,,,,,,,,,,,,
TRILOGY INC|15234314X,"$348,000",,,,,,,,,,,,,
"NEAR WEST SIDE COMMUNITY DEVELOPMENT CORPORATION, INC|98511898M","$346,750",,,,,,,,,,,,,
"LADIES OF VIRTUE, NFP|105512005T","$346,301",,,,,,,,,,,,,
BEVERLY ARTS CENTER|23257726P,"$345,000",,,,,,,,,,,,,
NATIONAL OPINION RESEARCH CENTER UNIV OF CHICAGO/CONTRACTS & GRANT|15320539Z,"$343,000",,,,,,,,,,,,,
"MUSIC & DANCE THEATER CHICAGO, INC.|22259145L","$340,000",,,,,,,,,,,,,
FIREHOUSE COMMUNITY ARTS CENTER OF CHICAGO|105473869T,"$340,000",,,,,,,,,,,,,
LOMAX URBAN OUTREACH INC.|105510993V,"$338,994",,,,,,,,,,,,,
ORGANIC ONENES|105472796T,"$338,000",,,,,,,,,,,,,
STANDARD IND/& AUTOMTV EQUIP I|31380293L,"$336,342",,,,,,,,,,,,,
STEPPEN WOLF THEATRE COMPANY|12860732T,"$335,000",,,,,,,,,,,,,
PUERTO RICAN ARTS ALLIANCE|5107026E,"$330,000",,,,,,,,,,,,,
BORDERLESS STUDIO LLC|102699064X,"$330,000",,,,,,,,,,,,,
"SISTERS IN CINEMA, NFP|105473924M","$325,000",,,,,,,,,,,,,
BROWN FARMER MEDIA GROUP INC|105461000H,"$322,000",,,,,,,,,,,,,
NOVACARE SERVICES INC|105470929L,"$320,641",,,,,,,,,,,,,
METROPOLITAN TENANTS ORGAN. 01|102508262P,"$320,000",,,,,,,,,,,,,
LAWNDALE CHRISTIAN DEVELOPMENTCORPORATION.|3971248X,"$320,000",,,,,,,,,,,,,
CHICAGO DANCEMAKERS FORUM|105477605T,"$320,000",,,,,,,,,,,,,
SOUTHEAST CHICAGO COMMISION|31303040P,"$317,708",,,,,,,,,,,,,
"KOBOTECH, INC.|22477560V","$315,000",,,,,,,,,,,,,
CHICAGO ALLIANCE AGAINST SEXUAL EXPLOITATION|105490340M,"$313,430",,,,,,,,,,,,,
RESILIENCE|105455651T,"$312,471",,,,,,,,,,,,,
"E. G. WOODE, L3C|10617434","$311,949",,,,,,,,,,,,,
TARGET AREA DEVELOPMENT CORPORATION|31322635Z,"$310,500",,,,,,,,,,,,,
CHAMPS MALE MENTORING PROGRAM-CHIRISE|10601215,"$310,500",,,,,,,,,,,,,
CHICAGO TORTURE JUSTICE CENTER|105510930H,"$310,495",,,,,,,,,,,,,
BLACK ENSEMBLE THEATRE CORPORATION|31304451V,"$310,000",,,,,,,,,,,,,
"CORDOS DEVELOPMENT & ASSOCIATES, LLC|105466827E","$309,600",,,,,,,,,,,,,
