,Purchase Order Description,Purchase Order (Contract) Number,Revision Number,Specification Number,Contract Type,Start Date,End Date,Approval Date,Department,Vendor Name,Vendor ID,Address 1,Address 2,City,State,Zip,Award Amount,Procurement Type,Contract PDF
456,CDPH-NUTRTN&WIC-SERVS:  PO 316216 Erie Family Health Centers,316216,0,1322555,DELEGATE AGENCY,07/01/2025,06/30/2026,09/05/2025,CHICAGO DEPARTMENT OF PUBLIC HEALTH,ERIE FAMILY HEALTH CENTER|CLEANED-UP,93336098P,1701 W SUPERIOR ST 3 TH FL  EFT,,CHICAGO,IL,60622-5646,"$589,640.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B0073599-0000-C215-91D4-5E54D7D8BC22}
457,AIRSIDE CONCRETE MAINTENANCE AND REPAIR AT OHARE AND MIDWAY INTERNATIONAL AIRPORTS,102390,8,769425,WORK SERV-AVIATION,06/10/2019,06/09/2026,09/05/2025,CHICAGO DEPARTMENT OF AVIATION,"ROSSI CONTRACTORS, INC.",25961167T,201 W LAKE STREET EFT,,NORTHLAKE,IL,60164,"$8,200,000.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B03D1B99-0000-C51C-B1A9-178D99B900E4}
458,CDPH-COMMNTY-ENG: PO 320168 B.U.I.L.D. INCORPORATED - ARP,320168,0,1255880,DELEGATE AGENCY,06/01/2025,12/31/2025,09/05/2025,CHICAGO DEPARTMENT OF PUBLIC HEALTH,BROADER.URBAN.INVESTMENT.L.D. INC,93734476Z,5100 W HARRISON ST,,CHICAGO,IL,60644,"$40,000.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={90A5A699-0000-C919-A46B-9179AA5D4ABE}
459,1201402: Milwaukee Avenue Section 5 Improvements W. Logan Boulevard to W. Belmont Avenue,257879,12,1201402,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,09/03/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,CAPITOL CEMENT CO INC,15244443L,6231-6233 N PULASKI RD,,CHICAGO,IL,60646,"$251,167.50",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={70931B99-0000-C31F-97C3-FAA4D1FC88A9}
460,954034: B-6-111 Stony Island Ave Traffic Signal Interconnect,182700,5,954034,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,09/03/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,JOHN BURNS CONSTRUCTION CO.,21972025E,17601 SOUTHWEST HWY,,ORLAND PARK,IL,60462-0827,"$17,321.70",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={209E1B99-0000-CF1A-A619-8F8D3AD16BA9}
461,LIBRARY MATERIALS AND SERVICES - NON-PRINT MATERIALS (CDs AND DVDs),28777,6,101447,"PRO SERV CONSULTING $250,000orABOVE",07/01/2016,06/25/2026,09/03/2025,CHICAGO PUBLIC LIBRARY,MIDWEST TAPE EXCHANGE,31297766M,PO BOX 820,,HOLLAND,OH,43528,$0.00,RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E0773F99-0000-CE1F-9068-575DC9C6507D}
462,"1233400: VARIOUS MODELS OF PORTABLE POWER PUMPS, GAS GENERATORS, REPLACEMENT PARTS, ACCESSORIES AND REPAIR SERVICES",289652,0,1233400,WORK SERVICES / FACILITIES MAINT.,08/22/2025,08/21/2030,08/29/2025,OFFICE OF PUBLIC SAFETY ADMINISTRATION,PRODUCTION DISTRIBUTION COMPANIES,93360965M,9511 S DORCHESTER EFT,,CHICAGO,IL,60628,"$1,053,000.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={A0936299-0000-C516-AC28-984BAE7DF25D}
463,"PARTS AND REPAIR SERVICES - MECHANICAL. MAINTENANCE, ELECTRICAL, AND BODY REPAIRS FOR CITY-OWNED AUTOMOBILES AND TRUCKS Reduction",20338,14,66458A,VEHICLES/HEAVY EQUIPMENT (CAPITAL),02/19/2010,01/12/2026,08/29/2025,DEPT OF FLEET MGMT,"B & W TRUCK REPAIR, INC",22295242L,3701 S IRON ST FL 1ST,,CHICAGO,IL,60609,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={401E3599-0000-C71B-B623-B40DF7FA83B3}
464,AUTOMATED EXTERNAL DEFIBRILLATORS (AEDS) AND ASSOCIATED SUPPORT MATERIALS,100106,5,547589A,COMMODITIES-AVIATION,05/20/2019,05/19/2027,08/29/2025,CHICAGO DEPARTMENT OF AVIATION,"CARDIO PARTNERS, INC",104416333X,5000 TUTTLE CROSSING BLVD,,DUBLIN,OH,43016,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={60F47799-0000-C314-9F19-2FB1CAA28D3A}
465,Purchase and Maintenance of Bunker Gear,283026,0,1298153,WORK SERVICES / FACILITIES MAINT.,08/26/2025,08/26/2030,08/29/2025,CHICAGO FIRE DEPARTMENT,"LION APPAREL, INC",93980761H,L-3505,,COLUMBUS,OH,43260,"$45,023,192.30",SOLE SOURCE,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={D0916299-0000-CE1D-8065-FC4064B408F8}
466,DFSS-IDHS-HL-SPC:,317382,0,1289730,DELEGATE AGENCY,07/01/2025,12/31/2025,08/28/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,14 Parish LLC,105500681Z,,,CHICAGO,IL,60615,"$57,666,631.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B0800B99-0000-CA18-900B-18384298582C}
467,CDPH-STI PROJ: Repro Health Access Initiative PO 314362 PLANNED PARENTHOOD OF ILLINOIS,314362,0,1309040,DELEGATE AGENCY,07/01/2025,12/31/2025,08/28/2025,,PLANNED PARENTHOOD OF ILLINOIS,95380081X,PLANNED PARENTHOOD CHGO,18 S MICHIGAN AVE FL 6TH,CHICAGO,IL,60603,"$325,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E0FC2A99-0000-C31C-8D3C-F1D9F610161C}
468,"MASTER TASK ORDER CONTRACT PROFESSIONAL ENGINEERING SERVICES HIGHWAY/ROADWAY DESIGN, TRAFFIC STUDIES AND DESIGN (FOR TASK ORDERS) CATEGORIES 1-7: AWARDED CATEGORIES 1, 2, 4, AND 7",32190,3,118890,ARCH/ENGINEERING,11/18/2015,09/01/2028,08/28/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,PARSONS BRINCKERHOFF INC,95497091Z,PO BOX 732476  EFT,,DALLAS,TX,75373,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={2053F198-0000-CD1B-8894-9D633B7557A1}
469,CDPH-STI PROJ: Repro Health Access Initiative PO 314360 BOARD OF TRUSTEES OF THE UNIV. OF ILLINOIS,314360,0,1327391,DELEGATE AGENCY,07/01/2025,12/31/2025,08/28/2025,,BOARD OF TRUSTEES OF THE UNIV. OF ILLINOIS,105513258L,28394 NETWORK PL,,CHICAGO,IL,60673,"$175,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={F077CE99-0000-C115-9848-E031F0954491}
470,TRUCK TRACTORS AND DRY VAN TRAILERS (GROUP A),137123,6,924923,VEHICLES/HEAVY EQUIPMENT (CAPITAL),12/04/2020,12/03/2026,08/28/2025,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,PATSON,93915714M,776 N YORK ROAD EFT,,ELMHURST,IL,60126,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={D044F198-0000-C518-91F5-AA6A0ACDB7FA}
471,See PO #32968 on the DPS Web for contract content. Muller & Muller Ltd to Gannett Fleming Architects: MCA for Professional Architectural and Design Services,308369,1,127930,ARCH/ENGINEERING,05/01/2025,05/30/2026,08/28/2025,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,"GANNETT FLEMING ARCHITECTS, INC.",105509498M,180 N STETSON AVNUE TWO PRUDENTIAL PLZ STE 3700,,CHICAGO,IL,60601,"$699,331.50",CONTRACT ASSIGNMENT/TRANS,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={701A059B-0000-CB1D-A112-CF23DB00DA23}
472,DFSS-IDHS-HL-EFSP:,316167,0,1294232,DELEGATE AGENCY,07/01/2025,12/31/2025,08/28/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,K.L.E.O. COMMUNITY FAMILY LIFE CENTER,75317018T,119 E GARFIELD BLVD FL 1ST,,CHICAGO,IL,60637,"$22,253,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={6036F798-0000-CE1A-877E-C4D9C7E0307D}
473,1237531: CLARK STREET STREETSCAPE: DEVON AVENUE TO ARTHUR AVENUE,227518,6,1237531,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,08/28/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,PAN-OCEANIC ENGINEERING CO INC,95584874P,6436 W HIGGINS AVENUE EFT,,CHICAGO,IL,60656,"-$33,780.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={501FF198-0000-C11D-AA4B-477FAF6E7067}
474,TARGET MARKET FINANCIAL SERVICES MASTER CONSULTING AGREEMENT-CATEGORY 9: CERTIFICATION PROCESSING AND CATEGORY 10: COMPLIANCE AUDITS,27782,8,109397,"PRO SERV CONSULTING $250,000orABOVE",05/29/2013,07/31/2026,08/28/2025,DEPARTMENT OF PROCUREMENT SERVICES,PRADO & RENTERIA CPA'S,3629371L,1837 S MICHIGAN AVE,1837 S MICHIGAN AVE,CHICAGO,IL,60616,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={40A1F198-0000-CC17-833C-1888431F4068}
475,DFSS-IDHS-WS-DARE:,241562,2,571131,DELEGATE AGENCY,07/01/2023,06/30/2026,08/26/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,SAFER FOUNDATION 01,28640536V,571 W JACKSON BLVD,,CHICAGO,IL,,"$959,591.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E06E0C99-0000-C212-9D39-01BCCBAB80F6}
476,INFORMATION TECHNOLOGY APPLICATION DEVELOPMENT SUPPORT SERVICES FOR O'HARE AND MIDWAY INT'L AIRPORTS (TARGET MARKET) SPEC 387995,89748,3,387995,"PRO SERV CONSULTING $250,000orABOVE",02/01/2019,06/30/2027,08/26/2025,CHICAGO DEPARTMENT OF AVIATION,CATALYST CONSULTING GROUP INC,87094261T,211 W WACKER DR STE 450,,CHICAGO,IL,60606,"$8,000,000.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={80AFE798-0000-C51D-AE50-418EDB710F17}
477,DFSS-IDOA-SS-CS:,275087,1,1294838,DELEGATE AGENCY,07/01/2024,09/30/2026,08/26/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"ASI, INC.",93792297Z,2619 W ARMITAGE AVENUE EFT,,CHICAGO,IL,60647-4208,"$600,000.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={2058149B-0000-C912-8D4F-172C52687DA3}
478,DFSS-IDHS-WS-SAR:,241561,2,571131,DELEGATE AGENCY,07/01/2023,06/30/2026,08/26/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,ALTERNATIVE SCHOOLS NETWORK,8509307T,1807 W SUNNYSIDE AVE STE 1D,,CHICAGO,IL,60640,"$715,907.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={30D33F99-0000-C511-BE1A-904845DA7329}
479,DFSS-IDOA-SS-CS:,261348,1,1286524,DELEGATE AGENCY,04/01/2024,09/30/2026,08/26/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,CHICAGO COMMONS ASSOCIATION 02,5042318T,700 N SACRAMENTO BOULEVARD EFT,,CHICAGO,IL,60651-3934,"$600,000.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={D0EE2C9B-0000-C512-9195-44D7502C0EA3}
480,DFSS-IDOA-SS-CS:,261346,1,1286524,DELEGATE AGENCY,04/01/2024,09/30/2026,08/26/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"CHINESE AMERICAN SERVICE LEAGUE, INC.",30779553M,2141 S TAN CT FL 2ND,,CHICAGO,IL,60616,"$600,000.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E008369A-0000-C011-B7E1-1205ACC0F512}
481,1269795: S-2-371 LINCOLN AVE STREETSCAPE SEC 2 WESTERN TO FOSTER AVENUE (SBI),268272,4,1256795,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,08/22/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,,CHICAGO,IL,60639,"$16,000.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={7094D398-0000-C517-A63A-1D02D21851D0}
482,"1200752: VARIOUS FURNITURE, ACCESSORIES & RELATED FURNITURE RECONFIGURATION",186198,6,1200752,COMMODITIES,04/01/2022,03/31/2027,08/22/2025,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,"FRANK COONEY CO, INC.",105460344P,700 TOUHY AVE,,ELK GROVE VILLAGE,IL,60007,"$3,154,282.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={3080D398-0000-C214-B393-F1047075CA00}
483,"MASTER TASK ORDER CONTRACT FOR CONSULTING SERVICES AGREEMENT FOR SURFACE TRANSPORTATION PLANNING STUDIES CATEGORIES 1-5: AWARDED CATEGORIES, ONE, TWO, AND FOUR",38948,3,129543,ARCH/ENGINEERING,09/12/2016,08/29/2027,08/22/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,"H D R ENGINEERING, INC.",102547677X,8550 W BRYN MAWR AVE,,CHICAGO,IL,60631,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={8093D398-0000-C71D-BC51-B5CD1E1636DC}
484,Beach and Midway Sewer Improvement,127340,10,934441,CONSTRUCTION-GENERAL,,,08/22/2025,DEPARTMENT OF WATER MANAGEMENT,M.Q. SEWER & WATER CONTRACTORS,93441615E,C. D/B/A MQ CONSTRUCTION CO,4323 N CENTRAL AVE,CHICAGO,IL,60634,"-$135,882.40",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={40408B98-0000-CA1A-ABB0-157468B20F99}
485,1235138: BULK ROCK SALT,209593,1,1235138,COMMODITIES,12/01/2022,11/30/2027,08/22/2025,DEPARTMENT OF STREETS AND SANITATION,"MORTON SALT, INC.",102482824Z,444 W LAKE ST,,CHICAGO,IL,60606,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={209AE198-0000-CD18-8A9C-14BD261796D2}
486,TARGET MARKET PLANNING NOW MASTER CONSULTING AGREEMENT- CATEGORY 5:  EVALUATE AND PRESERVE HISTORIC PROPERTIES,37589,6,131664,"PRO SERV CONSULTING $250,000orABOVE",11/18/2016,12/31/2027,08/22/2025,DEPARTMENT OF PLANNING AND DEVELOPMENT,"ALTUSWORKS, INC.",93441463X,4224 N MILWAUKEE AVENUE EFT,,CHICAGO,IL,60647,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={00392A99-0000-CF19-AD2B-78DA6F7639BE}
487,1212857: Montrose Harbor Bridges and Underpasses Improvements,244632,10,1212857,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,08/22/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",102903767L,5515 N EAST RIVER ROAD EFT XX  2356,,CHICAGO,IL,60656,"$2,120,500.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={F0E1E198-0000-C415-89F7-92596ACCA109}
488,"MASTER TASK ORDER CONTRACT FOR CONSULTING SERVICES AGREEMENT FOR SURFACE TRANSPORTATION PLANNING STUDIES CATEGORIES 1-5: AWARDED CATEGORIES ONE, TWO, AND FOUR",38958,3,129543,ARCH/ENGINEERING,09/12/2016,08/29/2027,08/20/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,TRANSYSTEMS CORPORATION,23227523Z,222 S RIVERSIDE PLZ STE 2320,,CHICAGO,IL,60606,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={9025C998-0000-CD1C-ACC4-68F00C7929CA}
489,"JANITORIAL SUPPLIES - L, T",41787,8,129464,COMMODITIES,07/15/2016,07/11/2026,08/20/2025,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,"EQUITY INDUSTRIAL SUPPLY, INC.",93757074M,2000 S 25TH AVE,,BROADVIEW,IL,60155,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={10AACD98-0000-C61B-A08B-D7EB03BAE29A}
490,"MASTER TASK ORDER CONTRACT FOR CONSULTING SERVICES AGREEMENT FOR SURFACE TRANSPORTATION PLANNING STUDIES CATEGORIES 1-5 - CATEGORIES AWARDED: 1,2,3, AND 4",38950,7,129543,ARCH/ENGINEERING,04/10/2017,08/29/2027,08/20/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,JACOBS ENGINEERING GROUP INC,96606311H,800 MARKET ST,,SAINT LOUIS,MO,63150-8713,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={6022C998-0000-C514-95DF-4EDC3D939043}
491,CDPH-STI PROJ: Repro Health Access Initiative PO 314357  Chicago Abortion Fund,314357,0,1327391,DELEGATE AGENCY,07/01/2025,12/31/2025,08/18/2025,,Chicago Abortion Fund,105491314M,,,CHICAGO,IL,60615,"$500,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={40F2F698-0000-CC1A-85CE-E8B79CD0CEE6}
492,PROFESSIONAL ARCHITECTURAL AND ENGINEERING DESIGN SERVICES,32966,5,127930,ARCH/ENGINEERING,12/17/2015,05/30/2026,08/14/2025,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,LIVING HABITATS,95626651M,6457 N SAYRE AVE,,CHICAGO,IL,60631,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={605C4B9A-0000-CE17-89F9-09DF626980A6}
493,"ROOFING INSPECTION, MAINTENANCE, REPAIR AND REPLACEMENT FOR O'HARE AND MIDWAY INTERNATIONAL AIRPORTS AND VARIOUS CITY LOCATIONS (ROOFING SERVICES)",64607,9,241477,WORK SERV-AVIATION,11/15/2017,12/31/2026,08/14/2025,CHICAGO DEPARTMENT OF AVIATION,RIDDIFORD ROOFING CO.,102486180X,2333 HAMILTON RD,,ARLINGTON HEIGHTS,IL,60005,"$3,000,000.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={0024A998-0000-CE1E-96C2-3AA273F0BD60}
494,"NON-TARGET MARKET PLANNING NOW SERVICES- CATEGORY 2: EVALUATE REAL ESTATE, HOUSING, AND ECONOMIC DEVELOPMENT PROPOSALS AND STUDY ECONOMIC IMPACTS",51704,6,131663,"PRO SERV CONSULTING $250,000orABOVE",03/01/2017,12/31/2027,08/14/2025,DEPARTMENT OF PLANNING AND DEVELOPMENT,GOODMAN WILLIAMS GROUP,95269479P,212 W KINZIE EFT,,CHICAGO,IL,60654,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={20D1A998-0000-C21E-A629-D604C1DEE420}
495,TARGET MARKET PLANNING NOW MASTER CONSULTING AGREEMENT- CATEGORY 2: EVALUATE REAL ESTATE HOUSING & ECONOMIC DEVELOPMENT PROPOSALS & STUDY ECONOMIC IMPACTS,37734,6,131664,"PRO SERV CONSULTING $250,000orABOVE",09/12/2016,12/31/2027,08/14/2025,DEPARTMENT OF PLANNING AND DEVELOPMENT,GOODMAN WILLIAMS GROUP,95269479P,212 W KINZIE EFT,,CHICAGO,IL,60654,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={0069A998-0000-C918-81C4-AFDC9FBC0535}
496,TARGET MARKET PROFESSIONAL SEWER DESIGN ENGINEERING SERVICES,70880,3,137382,ARCH/ENGINEERING,05/01/2018,10/28/2026,08/14/2025,DEPARTMENT OF WATER MANAGEMENT,"2IM GROUP, LLC.",94382362M,118 S CLINTON ST STE 350,,CHICAGO,IL,60661,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={5046AA98-0000-C915-95DE-1A61D3A15C23}
497,DESIGN CONSULTING SERVICES,37888,5,131155,ARCH/ENGINEERING,07/01/2016,12/29/2025,08/14/2025,DEPARTMENT OF WATER MANAGEMENT,"CRAWFORD, MURPHY & TILLY, INC",93296440L,125 S WACKER DR STE 2880,,CHICAGO,IL,60602,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={409A4B9A-0000-CE11-854C-01B40BCC7546}
498,HEALTH PREPAREDNESS SUPPLIES AND RELATED SERVICES FOR THE CITY OF CHICAGO,74495,3,120185,"PRO SERV CONSULTING $250,000orABOVE",12/21/2018,06/20/2026,08/14/2025,CHICAGO DEPARTMENT OF PUBLIC HEALTH,COLD CHAIN TECHNOLOGY SERVICES LLC|CLEANED-UP,93544379L,244 FLIGHTLINE DRIVE EFT,,SPRING BRANCH,TX,78070,"$1,538,168.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={4068AF98-0000-C617-A4AE-8095C1D93C5C}
499,EXPERT PROFESSIONAL INTEGRITY MONITORING SERVICES,129570,6,938807,PRO SERV-AVIATION,06/19/2020,06/18/2027,08/14/2025,CHICAGO DEPARTMENT OF AVIATION,"K2 INTELLIGENCE, LLC",105461983A,845 THIRD AVE,,NEW YORK,NY,10022,"$7,500,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={1049A998-0000-C512-A2B6-4B5A6D7C27F9}
500,1212857: Montrose Harbor Bridges and Underpasses Improvements,244632,9,1212857,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,08/14/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",102903767L,5515 N EAST RIVER ROAD EFT XX  2356,,CHICAGO,IL,60656,"-$2,992.10",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E035AE98-0000-C01B-B0D1-5B828CFA91B2}
501,TARGET MARKET PROFESSIONAL SEWER DESIGN ENGINEERING SERVICES,70883,3,137382,ARCH/ENGINEERING,05/01/2018,10/28/2026,08/14/2025,DEPARTMENT OF WATER MANAGEMENT,INFRASTRUCTURE ENGINEERING INC,102584443M,1 S WACKER DR STE 2650,,CHICAGO,IL,60606,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E06DBD98-0000-C31F-ACE0-574E7230496F}
502,Marketing and Communications for Public Health Programs,225754,0,1209922,"PRO SERV CONSULTING $250,000orABOVE",07/31/2025,09/30/2027,08/14/2025,CHICAGO DEPARTMENT OF PUBLIC HEALTH,DOSTUFF MEDIA LLC,105467315M,2200 S LAMAR BLVD STE L,,AUSTIN,TX,78704,"$3,000,000.00",RFQ,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={30FEEB98-0000-CF14-9CF7-835DABCD2E3B}
503,"Carpet Floor Mats, Carpet Tiles, Vinyl Tile, Supplies and Accessories Materials Only (Groups A, B & C) - Target Market",131840,3,1187687,COMMODITIES-AVIATION,07/16/2020,01/12/2026,08/14/2025,CHICAGO DEPARTMENT OF AVIATION,"BELLA BAGNO, INC.",31313587P,5500 W TOUHY AVE UNIT E,,SKOKIE,IL,60077,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={40F1BE98-0000-CC15-909D-FD95FEC59217}
504,Professional Engineering Services for Proposed Deep Excavation Foundation Review and Field Work,319103,0,1207764,ARCH/ENGINEERING,08/12/2025,08/11/2030,08/14/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,"GSG CONSULTANTS, INC.",102640943Z,623 COOPER CT,,SCHAUMBURG,IL,60173,"$2,750,000.00",RFQ,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B04EAE98-0000-CD1E-B3A3-A2B50A722C2C}
505,TRANSFER FROM PO # 71921 PROFESSIONAL CASHIERING AND RELATED CUSTOMER SERVICES,320723,0,490349,"PRO SERV CONSULTING $250,000orABOVE",07/23/2025,11/07/2025,08/14/2025,DEPARTMENT OF FINANCE,SP PLUS LLC,105514580T,200 E RANDOLPH ST STE 7700,,CHICAGO,IL,60601,"$58,816.30",CONTRACT ASSIGNMENT/TRANSFER,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B04DAE98-0000-CF10-83AB-3567684B84F0}
506,AIRSIDE SNOW REMOVAL AT O'HARE INTERNATIONAL AIRPORT,114934,3,1018525,WORK SERV-AVIATION,12/18/2019,07/18/2026,08/14/2025,CHICAGO DEPARTMENT OF AVIATION,"PLOTE CONSTRUCTION, INC / K-FIVE CONSTRUCTION CORP. JOINT VENTURE",23353679E,1100 BRANDT DR,,HOFFMAN ESTATES,IL,60120,"$500,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={90A6C298-0000-C113-8F20-437660F5962C}
507,"JANITORIAL SUPPLIES - GROUPS AA, D, GG, II, Q",41708,17,129464,COMMODITIES,07/15/2016,07/11/2026,08/13/2025,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,AZTEC SUPPLY CORPORATION,99253653P,5024 W 67TH ST,,BEDFORD PARK,IL,60638,"$257,702.10",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={3036A998-0000-C215-8ADB-A43501B74027}
